frame.frame.encap_type,frame.frame.time,frame.frame.time_utc,frame.frame.time_epoch,frame.frame.offset_shift,frame.frame.time_delta,frame.frame.time_delta_displayed,frame.frame.time_relative,frame.frame.number,frame.frame.len,frame.frame.cap_len,frame.frame.marked,frame.frame.ignored,frame.frame.protocols,sll.sll.etype,sll.sll.ifindex,sll.sll.hatype,sll.sll.pkttype,sll.sll.halen,sll.sll.src.eth,sll.sll.unused,ip.ip.version,ip.ip.hdr_len,ip.ip.dsfield,ip.ip.dsfield_tree,ip.ip.len,ip.ip.id,ip.ip.flags,ip.ip.flags_tree,ip.ip.frag_offset,ip.ip.ttl,ip.ip.proto,ip.ip.checksum,ip.ip.checksum.status,ip.ip.src,ip.ip.addr,ip.ip.src_host,ip.ip.host,ip.ip.dst,ip.ip.dst_host,udp.udp.srcport,udp.udp.dstport,udp.udp.port,udp.udp.length,udp.udp.checksum,udp.udp.checksum.status,udp.udp.stream,udp.Timestamps,udp.udp.payload,dns.dns.id,dns.dns.flags,dns.dns.flags_tree,dns.dns.count.queries,dns.dns.count.answers,dns.dns.count.auth_rr,dns.dns.count.add_rr,dns.Queries,dns.Answers,dns.dns.response_to,dns.dns.time,dns.Authoritative nameservers
210,"Nov 15, 2025 16:07:13.783066000 +06","Nov 15, 2025 10:07:13.783066000 UTC",1763201234,0,0,0,0,1,121,121,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,4,6,40:9f:38:88:5e:ad,0:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",101,0x661c,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0x5279,2,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.1,192.168.0.1,47139,53,53,81,0x3e8c,2,0,"{'udp.time_relative': '0.000000000', 'udp.time_delta': '0.000000000'}",c1:1b:01:00:00:01:00:00:00:00:00:00:22:65:66:39:31:30:31:38:62:65:63:66:66:35:64:37:61:34:33:35:34:33:65:30:31:32:39:30:37:61:34:64:31:37:31:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:05:00:01,0xc11b,0x0100,"{'dns.flags.response': '0', 'dns.flags.opcode': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.z': '0', 'dns.flags.checkdisable': '0'}",1,0,0,0,"{'ef91018becff5d7a43543e012907a4d171.tunnel.devgossips.me: type CNAME, class IN': {'dns.qry.name': 'ef91018becff5d7a43543e012907a4d171.tunnel.devgossips.me', 'dns.qry.name.len': '55', 'dns.count.labels': '4', 'dns.qry.type': '5', 'dns.qry.class': '0x0001'}}",,,,
210,"Nov 15, 2025 16:07:13.952278000 +06","Nov 15, 2025 10:07:13.952278000 UTC",1763201234,0,0.169212,0.169212,0.169212,2,170,170,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,0,6,b4:0f:3b:d1:2b:30,0:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",150,0x09da,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0xae8a,2,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.161,192.168.0.161,53,47139,47139,130,0x3bce,2,0,"{'udp.time_relative': '0.169212000', 'udp.time_delta': '0.169212000'}",c1:1b:81:80:00:01:00:01:00:00:00:00:22:65:66:39:31:30:31:38:62:65:63:66:66:35:64:37:61:34:33:35:34:33:65:30:31:32:39:30:37:61:34:64:31:37:31:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:05:00:01:c0:0c:00:05:00:01:00:00:01:2c:00:25:22:36:30:32:30:30:31:38:62:65:63:30:33:31:65:32:39:34:35:32:39:61:36:66:66:66:66:62:35:30:62:37:31:35:64:c0:2f,0xc11b,0x8180,"{'dns.flags.response': '1', 'dns.flags.opcode': '0', 'dns.flags.authoritative': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.recavail': '1', 'dns.flags.z': '0', 'dns.flags.authenticated': '0', 'dns.flags.checkdisable': '0', 'dns.flags.rcode': '0'}",1,1,0,0,"{'ef91018becff5d7a43543e012907a4d171.tunnel.devgossips.me: type CNAME, class IN': {'dns.qry.name': 'ef91018becff5d7a43543e012907a4d171.tunnel.devgossips.me', 'dns.qry.name.len': '55', 'dns.count.labels': '4', 'dns.qry.type': '5', 'dns.qry.class': '0x0001'}}","{'ef91018becff5d7a43543e012907a4d171.tunnel.devgossips.me: type CNAME, class IN, cname 6020018bec031e294529a6ffffb50b715d.tunnel.devgossips.me': {'dns.resp.name': 'ef91018becff5d7a43543e012907a4d171.tunnel.devgossips.me', 'dns.resp.type': '5', 'dns.resp.class': '0x0001', 'dns.resp.ttl': '300', 'dns.resp.len': '37', 'dns.cname': '6020018bec031e294529a6ffffb50b715d.tunnel.devgossips.me'}}",1,0.169212,
210,"Nov 15, 2025 16:07:14.806196000 +06","Nov 15, 2025 10:07:14.806196000 UTC",1763201235,0,0.853918,0.853918,1.02313,3,121,121,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,4,6,40:9f:38:88:5e:ad,0:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",101,0x69b7,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0x4ede,2,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.1,192.168.0.1,47139,53,53,81,0xaf49,2,0,"{'udp.time_relative': '1.023130000', 'udp.time_delta': '0.853918000'}",66:dd:01:00:00:01:00:00:00:00:00:00:22:31:39:66:35:30:31:38:62:65:63:37:66:62:32:66:65:61:37:61:34:37:30:30:31:32:61:31:38:62:38:32:62:65:39:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:10:00:01,0x66dd,0x0100,"{'dns.flags.response': '0', 'dns.flags.opcode': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.z': '0', 'dns.flags.checkdisable': '0'}",1,0,0,0,"{'19f5018bec7fb2fea7a470012a18b82be9.tunnel.devgossips.me: type TXT, class IN': {'dns.qry.name': '19f5018bec7fb2fea7a470012a18b82be9.tunnel.devgossips.me', 'dns.qry.name.len': '55', 'dns.count.labels': '4', 'dns.qry.type': '16', 'dns.qry.class': '0x0001'}}",,,,
210,"Nov 15, 2025 16:07:14.874058000 +06","Nov 15, 2025 10:07:14.874058000 UTC",1763201235,0,0.067862,0.067862,1.090992,4,168,168,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,0,6,b4:0f:3b:d1:2b:30,0:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",148,0x0a0a,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0xae5c,2,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.161,192.168.0.161,53,47139,47139,128,0xfec8,2,0,"{'udp.time_relative': '1.090992000', 'udp.time_delta': '0.067862000'}",66:dd:81:80:00:01:00:01:00:00:00:00:22:31:39:66:35:30:31:38:62:65:63:37:66:62:32:66:65:61:37:61:34:37:30:30:31:32:61:31:38:62:38:32:62:65:39:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:10:00:01:c0:0c:00:10:00:01:00:00:01:2c:00:23:22:61:62:33:36:30:31:38:62:65:63:31:35:36:36:64:31:32:35:65:32:31:30:66:66:66:66:62:35:30:62:37:31:35:64,0x66dd,0x8180,"{'dns.flags.response': '1', 'dns.flags.opcode': '0', 'dns.flags.authoritative': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.recavail': '1', 'dns.flags.z': '0', 'dns.flags.authenticated': '0', 'dns.flags.checkdisable': '0', 'dns.flags.rcode': '0'}",1,1,0,0,"{'19f5018bec7fb2fea7a470012a18b82be9.tunnel.devgossips.me: type TXT, class IN': {'dns.qry.name': '19f5018bec7fb2fea7a470012a18b82be9.tunnel.devgossips.me', 'dns.qry.name.len': '55', 'dns.count.labels': '4', 'dns.qry.type': '16', 'dns.qry.class': '0x0001'}}","{'19f5018bec7fb2fea7a470012a18b82be9.tunnel.devgossips.me: type TXT, class IN': {'dns.resp.name': '19f5018bec7fb2fea7a470012a18b82be9.tunnel.devgossips.me', 'dns.resp.type': '16', 'dns.resp.class': '0x0001', 'dns.resp.ttl': '300', 'dns.resp.len': '35', 'dns.txt.length': '34', 'dns.txt': 'ab36018bec1566d125e210ffffb50b715d'}}",3,0.067862,
210,"Nov 15, 2025 16:07:15.830303000 +06","Nov 15, 2025 10:07:15.830303000 UTC",1763201236,0,0.956245,0.956245,2.047237,5,121,121,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,4,6,40:9f:38:88:5e:ad,0:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",101,0x6a41,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0x4e54,2,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.1,192.168.0.1,47139,53,53,81,0xf85e,2,0,"{'udp.time_relative': '2.047237000', 'udp.time_delta': '0.956245000'}",5b:f5:01:00:00:01:00:00:00:00:00:00:22:34:35:33:35:30:31:38:62:65:63:35:63:64:63:32:37:34:34:64:35:62:31:30:31:32:62:35:33:62:38:63:34:66:32:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:10:00:01,0x5bf5,0x0100,"{'dns.flags.response': '0', 'dns.flags.opcode': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.z': '0', 'dns.flags.checkdisable': '0'}",1,0,0,0,"{'4535018bec5cdc2744d5b1012b53b8c4f2.tunnel.devgossips.me: type TXT, class IN': {'dns.qry.name': '4535018bec5cdc2744d5b1012b53b8c4f2.tunnel.devgossips.me', 'dns.qry.name.len': '55', 'dns.count.labels': '4', 'dns.qry.type': '16', 'dns.qry.class': '0x0001'}}",,,,
210,"Nov 15, 2025 16:07:15.897946000 +06","Nov 15, 2025 10:07:15.897946000 UTC",1763201236,0,0.067643,0.067643,2.11488,6,168,168,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,0,6,b4:0f:3b:d1:2b:30,0:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",148,0x0a3f,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0xae27,2,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.161,192.168.0.161,53,47139,47139,128,0x41e8,2,0,"{'udp.time_relative': '2.114880000', 'udp.time_delta': '0.067643000'}",5b:f5:81:80:00:01:00:01:00:00:00:00:22:34:35:33:35:30:31:38:62:65:63:35:63:64:63:32:37:34:34:64:35:62:31:30:31:32:62:35:33:62:38:63:34:66:32:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:10:00:01:c0:0c:00:10:00:01:00:00:01:2c:00:23:22:31:30:63:63:30:31:38:62:65:63:34:65:30:66:65:65:37:63:35:36:63:65:66:66:66:66:62:35:30:62:37:31:35:64,0x5bf5,0x8180,"{'dns.flags.response': '1', 'dns.flags.opcode': '0', 'dns.flags.authoritative': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.recavail': '1', 'dns.flags.z': '0', 'dns.flags.authenticated': '0', 'dns.flags.checkdisable': '0', 'dns.flags.rcode': '0'}",1,1,0,0,"{'4535018bec5cdc2744d5b1012b53b8c4f2.tunnel.devgossips.me: type TXT, class IN': {'dns.qry.name': '4535018bec5cdc2744d5b1012b53b8c4f2.tunnel.devgossips.me', 'dns.qry.name.len': '55', 'dns.count.labels': '4', 'dns.qry.type': '16', 'dns.qry.class': '0x0001'}}","{'4535018bec5cdc2744d5b1012b53b8c4f2.tunnel.devgossips.me: type TXT, class IN': {'dns.resp.name': '4535018bec5cdc2744d5b1012b53b8c4f2.tunnel.devgossips.me', 'dns.resp.type': '16', 'dns.resp.class': '0x0001', 'dns.resp.ttl': '300', 'dns.resp.len': '35', 'dns.txt.length': '34', 'dns.txt': '10cc018bec4e0fee7c56ceffffb50b715d'}}",5,0.067643,
210,"Nov 15, 2025 16:07:16.852918000 +06","Nov 15, 2025 10:07:16.852918000 UTC",1763201237,0,0.954972,0.954972,3.069852,7,121,121,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,4,6,40:9f:38:88:5e:ad,0:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",101,0x6a8a,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0x4e0b,2,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.1,192.168.0.1,47139,53,53,81,0x434e,2,0,"{'udp.time_relative': '3.069852000', 'udp.time_delta': '0.954972000'}",83:f0:01:00:00:01:00:00:00:00:00:00:22:66:65:62:30:30:31:38:62:65:63:37:38:64:65:36:64:39:32:65:36:33:37:30:31:32:63:37:63:38:30:63:62:65:34:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:10:00:01,0x83f0,0x0100,"{'dns.flags.response': '0', 'dns.flags.opcode': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.z': '0', 'dns.flags.checkdisable': '0'}",1,0,0,0,"{'feb0018bec78de6d92e637012c7c80cbe4.tunnel.devgossips.me: type TXT, class IN': {'dns.qry.name': 'feb0018bec78de6d92e637012c7c80cbe4.tunnel.devgossips.me', 'dns.qry.name.len': '55', 'dns.count.labels': '4', 'dns.qry.type': '16', 'dns.qry.class': '0x0001'}}",,,,
210,"Nov 15, 2025 16:07:16.969007000 +06","Nov 15, 2025 10:07:16.969007000 UTC",1763201237,0,0.116089,0.116089,3.185941,8,170,170,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,0,6,b4:0f:3b:d1:2b:30,0:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",150,0x0a4f,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0xae15,2,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.161,192.168.0.161,53,47139,47139,130,0xf6fd,2,0,"{'udp.time_relative': '3.185941000', 'udp.time_delta': '0.116089000'}",83:f0:81:80:00:01:00:01:00:00:00:00:22:66:65:62:30:30:31:38:62:65:63:37:38:64:65:36:64:39:32:65:36:33:37:30:31:32:63:37:63:38:30:63:62:65:34:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:10:00:01:c0:0c:00:10:00:01:00:00:01:2c:00:25:24:33:36:61:37:30:31:38:62:65:63:35:63:66:32:34:38:61:64:63:63:33:61:66:66:66:66:62:35:30:62:37:31:35:64:66:32,0x83f0,0x8180,"{'dns.flags.response': '1', 'dns.flags.opcode': '0', 'dns.flags.authoritative': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.recavail': '1', 'dns.flags.z': '0', 'dns.flags.authenticated': '0', 'dns.flags.checkdisable': '0', 'dns.flags.rcode': '0'}",1,1,0,0,"{'feb0018bec78de6d92e637012c7c80cbe4.tunnel.devgossips.me: type TXT, class IN': {'dns.qry.name': 'feb0018bec78de6d92e637012c7c80cbe4.tunnel.devgossips.me', 'dns.qry.name.len': '55', 'dns.count.labels': '4', 'dns.qry.type': '16', 'dns.qry.class': '0x0001'}}","{'feb0018bec78de6d92e637012c7c80cbe4.tunnel.devgossips.me: type TXT, class IN': {'dns.resp.name': 'feb0018bec78de6d92e637012c7c80cbe4.tunnel.devgossips.me', 'dns.resp.type': '16', 'dns.resp.class': '0x0001', 'dns.resp.ttl': '300', 'dns.resp.len': '37', 'dns.txt.length': '36', 'dns.txt': '36a7018bec5cf248adcc3affffb50b715df2'}}",7,0.116089,
210,"Nov 15, 2025 16:07:17.019678000 +06","Nov 15, 2025 10:07:17.019678000 UTC",1763201237,0,0.050671,0.050671,3.236612,9,121,121,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,4,6,40:9f:38:88:5e:ad,0:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",101,0x6afd,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0x4d98,2,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.1,192.168.0.1,47139,53,53,81,0x2eb7,2,0,"{'udp.time_relative': '3.236612000', 'udp.time_delta': '0.050671000'}",fe:fb:01:00:00:01:00:00:00:00:00:00:22:37:38:31:32:30:31:38:62:65:63:62:39:62:30:35:34:64:62:31:35:36:31:30:31:32:64:63:32:32:61:34:32:38:63:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:10:00:01,0xfefb,0x0100,"{'dns.flags.response': '0', 'dns.flags.opcode': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.z': '0', 'dns.flags.checkdisable': '0'}",1,0,0,0,"{'7812018becb9b054db1561012dc22a428c.tunnel.devgossips.me: type TXT, class IN': {'dns.qry.name': '7812018becb9b054db1561012dc22a428c.tunnel.devgossips.me', 'dns.qry.name.len': '55', 'dns.count.labels': '4', 'dns.qry.type': '16', 'dns.qry.class': '0x0001'}}",,,,
210,"Nov 15, 2025 16:07:17.170271000 +06","Nov 15, 2025 10:07:17.170271000 UTC",1763201237,0,0.150593,0.150593,3.387205,10,168,168,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,0,6,b4:0f:3b:d1:2b:30,0:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",148,0x0a5f,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0xae07,2,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.161,192.168.0.161,53,47139,47139,128,0x7ad0,2,0,"{'udp.time_relative': '3.387205000', 'udp.time_delta': '0.150593000'}",fe:fb:81:80:00:01:00:01:00:00:00:00:22:37:38:31:32:30:31:38:62:65:63:62:39:62:30:35:34:64:62:31:35:36:31:30:31:32:64:63:32:32:61:34:32:38:63:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:10:00:01:c0:0c:00:10:00:01:00:00:01:2c:00:23:22:64:39:63:35:30:31:38:62:65:63:62:37:30:66:39:33:33:63:33:61:32:30:66:66:66:66:62:35:30:61:37:31:35:64,0xfefb,0x8180,"{'dns.flags.response': '1', 'dns.flags.opcode': '0', 'dns.flags.authoritative': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.recavail': '1', 'dns.flags.z': '0', 'dns.flags.authenticated': '0', 'dns.flags.checkdisable': '0', 'dns.flags.rcode': '0'}",1,1,0,0,"{'7812018becb9b054db1561012dc22a428c.tunnel.devgossips.me: type TXT, class IN': {'dns.qry.name': '7812018becb9b054db1561012dc22a428c.tunnel.devgossips.me', 'dns.qry.name.len': '55', 'dns.count.labels': '4', 'dns.qry.type': '16', 'dns.qry.class': '0x0001'}}","{'7812018becb9b054db1561012dc22a428c.tunnel.devgossips.me: type TXT, class IN': {'dns.resp.name': '7812018becb9b054db1561012dc22a428c.tunnel.devgossips.me', 'dns.resp.type': '16', 'dns.resp.class': '0x0001', 'dns.resp.ttl': '300', 'dns.resp.len': '35', 'dns.txt.length': '34', 'dns.txt': 'd9c5018becb70f933c3a20ffffb50a715d'}}",9,0.150593,
